sku;_category;_type;_attribute_set;_product_websites;status;visibility;tax_class_id;qty;is_in_stock;_akeneo_variant_group;_super_products_sku;_super_attribute_code;_super_attribute_option;_super_attribute_price_corr;has_options;required_options;name;description;price;clothing_size;container_material;main_color;secondary_color;tshirt_materials;tshirt_style
"AKNTS_PWXL";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"1";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt white and purple with short sleeve";"Akeneo T-Shirt";"10.0";"xl";"";"purple";"white";"cotton";"crewneck,short_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_PWXXL";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"1";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt white and purple with short sleeve";"Akeneo T-Shirt";"10.0";"xxl";"";"purple";"white";"cotton";"crewneck,short_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_WPXS_LS";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"1";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt white and purple with long sleeve";"Akeneo T-Shirt";"10.0";"xs";"";"white";"purple";"cotton";"crewneck,long_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_WPS_LS";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"1";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt white and purple with long sleeve";"Akeneo T-Shirt";"10.0";"s";"";"white";"purple";"cotton";"crewneck,long_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_WPM_LS";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"1";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt white and purple with long sleeve";"Akeneo T-Shirt";"10.0";"m";"";"white";"purple";"cotton";"crewneck,long_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_WPL_LS";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"1";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt white and purple with long sleeve";"Akeneo T-Shirt";"10.0";"l";"";"white";"purple";"cotton";"crewneck,long_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_WPXL_LS";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"1";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt white and purple with long sleeve";"Akeneo T-Shirt";"10.0";"xl";"";"white";"purple";"cotton";"crewneck,long_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_WPXXL_LS";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"1";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt white and purple with long sleeve";"Akeneo T-Shirt";"10.0";"xxl";"";"white";"purple";"cotton";"crewneck,long_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_PBXS_LS";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"1";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt purple and white with long sleeve";"Akeneo T-Shirt";"10.0";"xs";"";"purple";"black";"cotton";"crewneck,long_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_PBS_LS";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"1";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt purple and white with long sleeve";"Akeneo T-Shirt";"10.0";"s";"";"purple";"black";"cotton";"crewneck,long_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_PBM_LS";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"1";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt purple and white with long sleeve";"Akeneo T-Shirt";"10.0";"m";"";"purple";"black";"cotton";"crewneck,long_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_PBL_LS";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"1";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt purple and white with long sleeve";"Akeneo T-Shirt";"10.0";"l";"";"purple";"black";"cotton";"crewneck,long_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_PBXL_LS";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"1";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt purple and white with long sleeve";"Akeneo T-Shirt";"10.0";"xl";"";"purple";"black";"cotton";"crewneck,long_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_PBXXL_LS";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"1";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt purple and white with long sleeve";"Akeneo T-Shirt";"10.0";"xxl";"";"purple";"black";"cotton";"crewneck,long_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_PWXS_LS";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"1";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt white and purple with long sleeve";"Akeneo T-Shirt";"10.0";"xs";"";"purple";"white";"cotton";"crewneck,long_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_PWS_LS";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"1";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt white and purple with long sleeve";"Akeneo T-Shirt";"10.0";"s";"";"purple";"white";"cotton";"crewneck,long_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_PWM_LS";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"1";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt white and purple with long sleeve";"Akeneo T-Shirt";"10.0";"m";"";"purple";"white";"cotton";"crewneck,long_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_PWL_LS";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"1";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt white and purple with long sleeve";"Akeneo T-Shirt";"10.0";"l";"";"purple";"white";"cotton";"crewneck,long_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_PWXL_LS";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"1";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt white and purple with long sleeve";"Akeneo T-Shirt";"10.0";"xl";"";"purple";"white";"cotton";"crewneck,long_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_PWXXL_LS";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"1";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt white and purple with long sleeve";"Akeneo T-Shirt";"10.0";"xxl";"";"purple";"white";"cotton";"crewneck,long_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_BPXS_VS";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"4";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt black and purple with short sleeve and vneck";"Akeneo T-Shirt";"10.0";"xs";"";"black";"purple";"cotton";"vneck,short_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_BPS_VS";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"4";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt black and purple with short sleeve and vneck";"Akeneo T-Shirt";"10.0";"s";"";"black";"purple";"cotton";"vneck,short_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_BPM_VS";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"4";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt black and purple with short sleeve and vneck";"Akeneo T-Shirt";"10.0";"m";"";"black";"purple";"cotton";"vneck,short_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_BPL_VS";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"4";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt black and purple with short sleeve and vneck";"Akeneo T-Shirt";"10.0";"l";"";"black";"purple";"cotton";"vneck,short_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_BPXL_VS";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"4";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt black and purple with short sleeve and vneck";"Akeneo T-Shirt";"10.0";"xl";"";"black";"purple";"cotton";"vneck,short_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_BPXXL_VS";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"4";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt black and purple with short sleeve and vneck";"Akeneo T-Shirt";"10.0";"xxl";"";"black";"purple";"cotton";"vneck,short_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_WPXS_VS";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"4";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt white and purple with short sleeve and vneck";"Akeneo T-Shirt";"10.0";"xs";"";"white";"purple";"cotton";"vneck,short_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_WPS_VS";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"4";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt white and purple with short sleeve and vneck";"Akeneo T-Shirt";"10.0";"s";"";"white";"purple";"cotton";"vneck,short_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_WPM_VS";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"4";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt white and purple with short sleeve and vneck";"Akeneo T-Shirt";"10.0";"m";"";"white";"purple";"cotton";"vneck,short_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_WPL_VS";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"4";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt white and purple with short sleeve and vneck";"Akeneo T-Shirt";"10.0";"l";"";"white";"purple";"cotton";"vneck,short_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_WPXL_VS";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"4";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt white and purple with short sleeve and vneck";"Akeneo T-Shirt";"10.0";"xl";"";"white";"purple";"cotton";"vneck,short_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_WPXXL_VS";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"4";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt white and purple with short sleeve and vneck";"Akeneo T-Shirt";"10.0";"xxl";"";"white";"purple";"cotton";"vneck,short_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_PBXS_VS";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"4";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt purple and white with short sleeve and vneck";"Akeneo T-Shirt";"10.0";"xs";"";"purple";"black";"cotton";"vneck,short_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_PBS_VS";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"4";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt purple and white with short sleeve and vneck";"Akeneo T-Shirt";"10.0";"s";"";"purple";"black";"cotton";"vneck,short_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_PBM_VS";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"4";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt purple and white with short sleeve and vneck";"Akeneo T-Shirt";"10.0";"m";"";"purple";"black";"cotton";"vneck,short_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_PBL_VS";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"4";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt purple and white with short sleeve and vneck";"Akeneo T-Shirt";"10.0";"l";"";"purple";"black";"cotton";"vneck,short_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_PBXL_VS";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"4";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt purple and white with short sleeve and vneck";"Akeneo T-Shirt";"10.0";"xl";"";"purple";"black";"cotton";"vneck,short_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_PBXXL_VS";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"4";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt purple and white with short sleeve and vneck";"Akeneo T-Shirt";"10.0";"xxl";"";"purple";"black";"cotton";"vneck,short_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_PWXS_VS";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"4";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt white and purple with short sleeve and vneck";"Akeneo T-Shirt";"10.0";"xs";"";"purple";"white";"cotton";"vneck,short_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_PWS_VS";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"4";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt white and purple with short sleeve and vneck";"Akeneo T-Shirt";"10.0";"s";"";"purple";"white";"cotton";"vneck,short_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_PWM_VS";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"4";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt white and purple with short sleeve and vneck";"Akeneo T-Shirt";"10.0";"m";"";"purple";"white";"cotton";"vneck,short_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_PWL_VS";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"4";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt white and purple with short sleeve and vneck";"Akeneo T-Shirt";"10.0";"l";"";"purple";"white";"cotton";"vneck,short_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_PWXL_VS";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"4";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt white and purple with short sleeve and vneck";"Akeneo T-Shirt";"10.0";"xl";"";"purple";"white";"cotton";"vneck,short_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_PWXXL_VS";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"4";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt white and purple with short sleeve and vneck";"Akeneo T-Shirt";"10.0";"xxl";"";"purple";"white";"cotton";"vneck,short_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_BPXS_VSO";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"4";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt black and purple with short sleeve and vneck";"Akeneo T-Shirt";"10.0";"xs";"";"black";"purple";"organic_cotton";"vneck,short_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
