attribute_set_id;attribute_group_id;attribute_id;sort_order
digital_cameras;technical;focus;111
digital_cameras;technical;focus_adjustement;112
digital_cameras;technical;auto_focus_modes;113
digital_cameras;technical;auto_focus_points;114
digital_cameras;technical;auto_focus_lock;115
digital_cameras;technical;auto_focus_assist_beam;116
digital_cameras;technical;iso_sensitivity;117
digital_cameras;technical;light_exposure_modes;118
digital_cameras;technical;light_exposure_corrections;119
digital_cameras;technical;light_metering;120
digital_cameras;technical;auto_exposure;121
digital_cameras;technical;iso_sensitivity_max;122
digital_cameras;technical;iso_sensitivity_min;123
headphones;General;visibility;124
headphones;General;status;125
headphones;General;tax_class_id;126
headphones;General;has_options;127
headphones;General;required_options;128
headphones;General;url_path;129
headphones;General;url_key;130
headphones;General;price_type;131
headphones;General;sku_type;132
headphones;General;options_container;133
headphones;marketing;sku;134
headphones;marketing;name;135
headphones;marketing;description;136
headphones;technical;weight;137
headphones;technical;power_requirements;138
headphones;technical;thd;139
headphones;technical;snr;140
headphones;technical;headphone_connectivity;141
headphones;marketing;release_date;142
headphones;marketing;price;143
headphones;media;picture;144
led_tvs;General;visibility;145
led_tvs;General;status;146
led_tvs;General;tax_class_id;147
led_tvs;General;has_options;148
led_tvs;General;required_options;149
led_tvs;General;url_path;150
led_tvs;General;url_key;151
led_tvs;General;price_type;152
led_tvs;General;sku_type;153
led_tvs;General;options_container;154
led_tvs;marketing;sku;155
led_tvs;marketing;name;156
led_tvs;marketing;description;157
led_tvs;technical;weight;158
led_tvs;technical;power_requirements;159
led_tvs;technical;display_diagonal;160
led_tvs;marketing;release_date;161
led_tvs;marketing;price;162
led_tvs;media;picture;163
tablets;General;visibility;164
tablets;General;status;165
tablets;General;tax_class_id;166
tablets;General;has_options;167
tablets;General;required_options;168
tablets;General;url_path;169
tablets;General;url_key;170
tablets;General;price_type;171
tablets;General;sku_type;172
tablets;General;options_container;173
tablets;marketing;sku;174
tablets;marketing;name;175
tablets;marketing;description;176
tablets;technical;weight;177
tablets;technical;power_requirements;178
tablets;marketing;release_date;179
tablets;marketing;price;180
tablets;media;picture;181
mp3_players;General;visibility;182
mp3_players;General;status;183
mp3_players;General;tax_class_id;184
mp3_players;General;has_options;185
mp3_players;General;required_options;186
mp3_players;General;url_path;187
mp3_players;General;url_key;188
mp3_players;General;price_type;189
mp3_players;General;sku_type;190
mp3_players;General;options_container;191
mp3_players;marketing;sku;192
mp3_players;marketing;name;193
mp3_players;marketing;description;194
mp3_players;technical;weight;195
mp3_players;technical;power_requirements;196
mp3_players;marketing;release_date;197
mp3_players;marketing;price;198
mp3_players;media;picture;199
laser_led_printers;General;visibility;200
laser_led_printers;General;status;201
laser_led_printers;General;tax_class_id;202
laser_led_printers;General;has_options;203
laser_led_printers;General;required_options;204
laser_led_printers;General;url_path;205
laser_led_printers;General;url_key;206
laser_led_printers;General;price_type;207
laser_led_printers;General;sku_type;208
laser_led_printers;General;options_container;209
laser_led_printers;marketing;sku;210
laser_led_printers;marketing;name;211
laser_led_printers;marketing;description;212
laser_led_printers;technical;weight;213
laser_led_printers;technical;power_requirements;214
laser_led_printers;technical;maximum_print_size;215
laser_led_printers;marketing;release_date;216
laser_led_printers;marketing;price;217
laser_led_printers;media;picture;218
pc_monitors;General;visibility;219
pc_monitors;General;status;220
pc_monitors;General;tax_class_id;221
pc_monitors;General;has_options;222
pc_monitors;General;required_options;223
pc_monitors;General;url_path;224
pc_monitors;General;url_key;225
pc_monitors;General;price_type;226
pc_monitors;General;sku_type;227
pc_monitors;General;options_container;228
pc_monitors;marketing;sku;229
pc_monitors;marketing;name;230
pc_monitors;marketing;description;231
pc_monitors;technical;weight;232
pc_monitors;technical;power_requirements;233
pc_monitors;marketing;response_time;234
pc_monitors;technical;display_srgb;235
pc_monitors;technical;display_color;236
pc_monitors;technical;display_diagonal;237
pc_monitors;marketing;release_date;238
pc_monitors;marketing;price;239
pc_monitors;media;picture;240
scanners;General;visibility;241
scanners;General;status;242
scanners;General;tax_class_id;243
scanners;General;has_options;244
scanners;General;required_options;245
scanners;General;url_path;246
scanners;General;url_key;247
scanners;General;price_type;248
scanners;General;sku_type;249
scanners;General;options_container;250
scanners;marketing;sku;251
scanners;marketing;name;252
scanners;marketing;description;253
scanners;technical;weight;254
scanners;technical;maximum_scan_size;255
scanners;technical;color_scanning;256
scanners;technical;power_requirements;257
scanners;marketing;release_date;258
scanners;marketing;price;259
scanners;media;picture;260
loudspeakers;General;visibility;261
loudspeakers;General;status;262
loudspeakers;General;tax_class_id;263
loudspeakers;General;has_options;264
loudspeakers;General;required_options;265
loudspeakers;General;url_path;266
loudspeakers;General;url_key;267
loudspeakers;General;price_type;268
loudspeakers;General;sku_type;269
loudspeakers;General;options_container;270
loudspeakers;marketing;sku;271
loudspeakers;marketing;name;272
loudspeakers;marketing;description;273
loudspeakers;technical;weight;274
loudspeakers;technical;power_requirements;275
loudspeakers;marketing;release_date;276
loudspeakers;marketing;price;277
loudspeakers;media;picture;278
multifunctionals;General;visibility;279
multifunctionals;General;status;280
multifunctionals;General;tax_class_id;281
multifunctionals;General;has_options;282
multifunctionals;General;required_options;283
multifunctionals;General;url_path;284
multifunctionals;General;url_key;285
multifunctionals;General;price_type;286
multifunctionals;General;sku_type;287
multifunctionals;General;options_container;288
multifunctionals;marketing;sku;289
multifunctionals;marketing;name;290
multifunctionals;marketing;description;291
multifunctionals;technical;weight;292
multifunctionals;technical;color_scanning;293
multifunctionals;technical;power_requirements;294
multifunctionals;technical;maximum_print_size;295
multifunctionals;technical;multifunctional_functions;296
multifunctionals;marketing;release_date;297
multifunctionals;marketing;price;298
multifunctionals;media;picture;299
mugs;color;secondary_color;300
